In man-in-box?,Name,Preferred ID for nerve name,Superclass,Origin/Central connection/Parent nerve,Preferred ID for Origin/Central connection/Parent nerve,efferent/afferent for column D ,Anatomical landmarks along nerve (from origin to destination),Preferred ID for landmarks,Destination(s),Preferred ID (of destination),Extra details,Detailed relationship to landmarks,Notes,References
,Trigeminal nerve (CN V),UBERON:0001645,,"* (Pons) medial to the middle cerebellar peduncle
* (Trigeminal sensory nucleus), 
* (Medulla) lateral part
* (Trigeminal (semilunar) ganglion)","* UBERON:0000988
* UBERON:0004132
* UBERON:0001896
* UBERON:0001675",,,,"Divides into 
* (Ophthalmic), 
* (Maxillary) and 
* (Mandibular) branches","* UBERON:0000348
* UBERON:0000377
* UBERON:0000375",Trigeminal ganglion lateral to cavernous sinus,,,"Gray's Anatomy (Table 16.1), (Fig. 28.10 p 438), p 412"
Yes,Right trigeminal nerve,FMA:50884,UBERON:0001645,,,,,,"* Point on right trigeminal nerve where right ophthalmic nerve starts
* Point on right trigeminal nerve where right maxillary nerve starts
* Point on right trigeminal nerve where right mandibular nerve starts",,,,,
Yes,Left trigeminal nerve,FMA:50885,UBERON:0001645,,,,,,"* Point on left trigeminal nerve where left ophthalmic nerve starts
* Point on left trigeminal nerve where left maxillary nerve starts
* Point on left trigeminal nerve where left mandibular nerve starts",,,,,
,Ophthalmic nerve (CN Vi),UBERON:0000348,,(Trigeminal ganglion),UBERON:0001675,,"* Arises from trigeminal ganglion in (Middle cranial fossa)
* (Cavernous sinus)
* Exits skull at (Superior orbital fissure)","* UBERON:0003722
* UBERON:0003712
* UBERON:0005480","* (Lacrimal nerve)
* (Frontal nerve)
* (Nasociliary nerve)
* (Forehead)
* (Forehead skin) 
* (Scalp)
* (Upper eyelid)
* (Nose) 
* (Conjunctiva)","* UBERON:0011096
* UBERON:0000942
* UBERON:0022300
* UBERON:0008200
* UBERON:0016475
* UBERON:000403
* UBERON:0001712
* UBERON:0000004
* UBERON:0001811",,"Arises from trigeminal ganglion in middle cranial fossa. Passes forwards along the lateral dural wall of the cavernous sinus to give off lacrimal, frontal and nasociliary branches just before it reaches the superior orbital fissure.",,"Gray's Anatomy (Table 16.1), Gray's Anatomy p 501, 678, Last's Anatomy (revised 9th ed.) p 576"
Yes,Right ophthalmic nerve,FMA:52622,UBERON:0000348,,,,,,"* Point on right ophthalmic nerve where right lacrimal nerve starts
* Point on right ophthalmic nerve where right frontal nerve starts
* Point on right ophthalmic nerve where right nasociliary nerve starts
* Point on right ophthalmic nerve where right tentorial nerve starts",,,,,
Yes,Left ophthalmic nerve,FMA:52623,UBERON:0000348,,,,,,"* Point on left ophthalmic nerve where left lacrimal nerve starts
* Point on left ophthalmic nerve where left frontal nerve starts
* Point on left ophthalmic nerve where left nasociliary nerve starts
* Point on left ophthalmic nerve where left tentorial nerve starts",,,,,
,Tentorial nerve (meningeal branches of ophthalmic nerve),FMA:52625,,Point on ophthalmic nerve where tentorial nerve starts,,,,,* Dura of (supratentorial region),* UBERON:0001893,,,,Netter's Atlas of Human Anatomy plate 133
Yes,Right tentorial nerve,FMA:52626,FMA:52625,Point on right ophthalmic nerve where right tentorial nerve starts,,,,,,,,,,
Yes,Left tentorial nerve,FMA:52627,FMA:52625,Point on left ophthalmic nerve where left tentorial nerve starts,,,,,,,,,,
,Lacrimal nerve,UBERON:0011096,,Point on ophthalmic nerve where lacrimal nerve starts,,,"* Branches off ophthalmic nerve in (Cavernous sinus) just before (Superior orbital fissure)
* (Orbit)
* Travels forwards on superior border of (Lateral rectus)","* UBERON:0003712
* UBERON:0005480
* UBERON:0001697
* UBERON:0001603","* (Lacrimal gland)
* (Upper eyelid) (lateral part)
* (Conjunctiva)
* Anastamoses with filaments of (Facial nerve) and zygomatic branch of maxillary nerve","* UBERON:0001817
* UBERON:0001712
* UBERON:0001811
* UBERON:0001647",,Smallest of main ophthalmic branches. Enters orbit through superior orbital fissure. Passes forwards along lateral wall of orbit on superior border of lateral rectus. Travels through lacrimal gland and orbital septum to supply conjunctiva and skin of lateral region of upper eyelid. Anastamoses with filaments of the facial nerve and zygomatic branch of maxillary nerve.,"May be absent, in which case it is replaced by the zygomaticotemporal nerve.",Gray's Anatomy p 678
Yes,Right lacrimal nerve,FMA:52629,UBERON:0011096,,,,,,,,,,,
Yes,Left lacrimal nerve,FMA:52630,UBERON:0011096,,,,,,,,,,,
,Palpebral branch of lacrimal nerve (Palpebral nerve),"UBERON:0003437
This code is just for a generic eyelid nerve, not specifically a palpebral branch of the lacrimal nerve.
REQUESTED",,Point on lacrimal nerve where palpebral branch of lacrimal nerve starts,,,,,Skin of lateral upper eyelid,,There are palpebral branches of most of the main nerves in the area.,,,Netter's Atlas of Human Anatomy (7th ed.) plate 9
Yes,Right palpebral branch of lacrimal nerve/ Palpebral branch of right lacrimal nerve (Right palpebral nerve),REQUESTED,Palpebral branch of lacrimal nerve (Palpebral nerve),,,,,,,,,,,
Yes,Left palpebral branch of lacrimal nerve/ Palpebral branch of left lacrimal nerve (Left palpebral nerve),REQUESTED,Palpebral branch of lacrimal nerve (Palpebral nerve),,,,,,,,,,,
,Frontal nerve,UBERON:0000942,,Point on ophthalmic nerve where frontal nerve starts,,,"* Largest branch of ophthalmic nerve, arises in (Cavernous sinus) just before (Superior orbital fissure)
* Passes through (Superior orbital fissure) to enter
* (Orbit)
* Travels forwards on (Levator palpebrae superioris)","* UBERON:0003712
* UBERON:0005480
* UBERON:0001697
* UBERON:0001604","* Divides into (Supra-orbital nerve) and 
* (Supratrochlear nerve)","* FMA:52655
* FMA:52642",,Enters orbit through superior orbital fissure. Lies between lacrimal nerve laterally and trochlear nerve medially. Passes forwards towards rim of orbit on levator palpebrae superioris. Divides into supraorbital and supratrochlear nerves.,,Gray's Antatomy p 679
Yes,Right frontal nerve,FMA:52639,UBERON:0000942,,,,,,,,,,,
Yes,Left frontal nerve,FMA:52640,UBERON:0000942,,,,,,,,,,,
,Supratrochlear nerve,FMA:52642,,Point on frontal nerve where supratrochlear nerve starts,,,"* Smaller terminal branch of frontal nerve, arises within (Orbit) on (Levator palpebrae superioris)","* UBERON:0001697
* UBERON:0001604","* (Conjunctiva)
* (Upper eyelid) 
* (Forehead skin) skin of lower forehead near midline","* UBERON:0001811
* UBERON:0001712
* UBERON:0016475",,"Runs anteromedially in roof of orbit, passes above trochlea, supplies descending filament to infratrochlear branch of the nasociliary nerve. Nerve emerges between trochlea and supraorbital foramen at frontal notch. Supplies conjunctiva and skin of upper eyelid and skin of lower forehead near midline.",,"Gray's Anatomy p 501, 679"
Yes,Right supratrochlear nerve,FMA:52643,FMA:52642,,,,,,,,,,,
,Left supratrochlear nerve,FMA:52644,FMA:52642,,,,,,,,,,,
,Supraorbital nerve,FMA:52655,,Point on frontal nerve where supraorbital nerve starts,,,"* Larger terminal branch of frontal nerve, arises within (Orbit) on (Levator palpebrae superioris)","* UBERON:0001697
* UBERON:0001604","* (Conjunctiva)
* (Upper eyelid)
* (Scalp) medial and lateral branches supply skin of scalp","* UBERON:0001811
* UBERON:0001712
* UBERON:000403",,"Traverses supraorbital notch or foramen and supplies filaments to upper eyelid and conjunctiva. Ascends on forehead with supraorbital artery, divides into medial and lateral branches.",,Gray's Anatomy p 679
Yes,Right supraorbital nerve,FMA:52656,FMA:52655,,,,,,,,,,,
Yes,Left supraorbital nerve,FMA:52657,FMA:52655,,,,,,,,,,,
,Nasociliary nerve,UBERON:0022300,,Point on ophthalmic nerve where nasociliary nerve starts,,,"* Arises in (Cavernous sinus) just before (Superior orbital fissure)
* Enters (Orbit)
* Crosses (Optic nerve)
* Runs obliquely below (Superior rectus) and 
* (Superior oblique)","* UBERON:0003712
* UBERON:0005480
* UBERON:0001697
* UBERON:0004904
* UBERON:0006323
* UBERON:0006321","* (Wall of orbit)
* Gives off long ciliary branch (Long ciliary nerve),
* (Infratrochlear nerve) branch and via 
* (Ciliary ganglion) to 
* (Short ciliary nerve)s and
* (Anterior ethmoidal nerve) and 
* (Posterior ethmoidal nerve) ","* UBERON:0037089
* UBERON:0022301
* FMA:52693
* UBERON:0002058
* UBERON:0022302
* FMA:52675
* FMA:52714",,"Enters orbit through common tendinous ring between the two rami of the oculomotor nerve. Crosses optic nerve with ophthalmic artery, runs obliquely below superior rectus and superior oblique to medial orbital wall (not the same as medial orbital area) where it gives off anterior and posterior ethmoidal nerves. Also has long ciliary and infratrochlear branches and a connection with the ciliary ganglion.",,"Gray's Anatomy p 433, 679"
Yes,Right nasociliary nerve,FMA:52669,UBERON:0022300,,,,,,,,,,,
Yes,Left nasociliary nerve,FMA:52670,UBERON:0022300,,,,,,,,,,,
,Communicating branch of nasociliary nerve with ciliary ganglion,FMA:52672,,Point on nasociliary nerve where communicating branch of nasociliary nerve with ciliary ganglion starts,,,,,Ciliary ganglion,UBERON:0002058,Branch off nasociliary nerve as it enters the orbit lateral to the optic nerve. May be joined by a filament from the internal carotid sympathetic plexus or the superior ramus of the oculomotor nerve.,,,Gray's Anatomy p 679
Yes,Right communicating branch of nasociliary nerve with ciliary ganglion (Communicating branch of right nasociliary nerve with right ciliary ganglion),FMA:52673,FMA:52672,Point on right nasociliary nerve where right communicating branch of nasociliary nerve with ciliary ganglion starts,,,,,Right ciliary ganglion,FMA:53549,,,,
Yes,Left communicating branch of nasociliary nerve with ciliary ganglion (Communicating branch of left nasociliary nerve with left ciliary ganglion),FMA:52674,FMA:52672,Point on left nasociliary nerve where left communicating branch of nasociliary nerve with ciliary ganglion starts,,,,,Left ciliary ganglion,FMA:53550,,,,
,Infratrochlear nerve,FMA:52693,,Point on nasociliary nerve where infratrochlear nerve starts,,,* (Orbit),* UBERON:0001697,"* (Skin of eyelid)
* (Conjunctiva)
* (Lacrimal sac)
* (Lacrimal caruncle)
* Side of (Nose) above medial canthus","* UBERON:0001457
* UBERON:0001811
* UBERON:0001351
* UBERON:0014698
* UBERON:0000004",,Leaves orbit below trochlea,,Gray's Anatomy p 679
Yes,Right infratrochlear nerve,FMA:52698,FMA:52693,,,,,,,,,,,
Yes,Left infratrochlear nerve,FMA:52699,FMA:52693,,,,,,,,,,,
,Long ciliary nerves,UBERON:0022301,,Point on nasociliary nerve where long ciliary nerves start,,,* 2 or 3 branches from nasociliary nerve as it crosses (Optic nerve),* UBERON:0004904,"* (Ciliary body)
* (Iris)
* (Cornea) 
* Carries sympathetic fibres to (Dilator pupillae) from superior cervical ganglion","* UBERON:0001775
* UBERON:0001769
* UBERON:0000964
* UBERON:0001608",,"Accompany short ciliary nerves, pierce sclera near the attachment of the optic nerve and run forwards between the sclera and the choroid",Dilator pupillae may also be supplied by sympathetic root associated with ciliary ganglion,"Gray's Anatomy p 679
Netter's Atlas of Human Anatomy plate 133"
Yes,Right long ciliary nerve (Right long ciliary nerve A),FMA:82734,UBERON:0022301,,,,,,,,,,,
Yes,Left long ciliary nerve (Left long ciliary nerve A),FMA:82735,UBERON:0022301,,,,,,,,,,,
Yes,Right long ciliary nerve B,NEEDS CLARIFICATION,UBERON:0022301,,,,,,,,,,,
Yes,Left long ciliary nerve B,NEEDS CLARIFICATION,UBERON:0022301,,,,,,,,,,,
,Long ciliary nerve to iris,FMA:52694,,,,,,,,,,,,
,Long ciliary nerve to right iris,FMA:52700,FMA:52694,,,,,,,,,,,
,Long ciliary nerve to left iris,FMA:52701,FMA:52694,,,,,,,,,,,
,Long ciliary nerve to ciliary body,FMA:52692,,,,,,,,,,,,
,Long ciliary nerve to right ciliary body,FMA:52696,FMA:52692,,,,,,,,,,,
,Long ciliary nerve to left ciliary body,FMA:52697,FMA:52692,,,,,,,,,,,
,Long ciliary nerve to dilator pupillae,FMA:52695,,,,,,,,,,,,
,Long ciliary nerve to right dilator pupillae,FMA:52702,FMA:52695,,,,,,,,,,,
,Long ciliary nerve to left dilator pupillae,FMA:52703,FMA:52695,,,,,,,,,,,
,Anterior ethmoidal nerve,FMA:52675,,Point on nasociliary nerve where anterior ethmoidal nerve starts,,,"* (Wall of orbit)
* (Anterior ethmoidal foramen)
* (Orbital part of frontal bone)
* (Roof of internal nose)","* UBERON:0037089
* UBERON:0018653
* UBERON:0011627
* FMA:59669","* Meningeal branches innervate dura mater in (Anterior cranial fossa)
* Anterior and upper parts of (Nasal septum)
* (Skin of nose) to 
* (Nasal tip)","* UBERON:0003720
* UBERON:0001706
* UBERON:0015476
* UBERON:0012128",Leaves nasociliary nerve along medial wall of orbit.,"Passes through anterior ethmoidal foramen and canal. Enters cranial cavity alongside vessels where the cribriform plate meets the orbital part of the frontal bone, pass into roof of nasal cavity via a small foramen by the side of the crista galli. Gives off lateral internal branch to supply the anterior part of the lateral wall, and a medial internal branch to the anterior and upper parts of the septum. Emerges at inferior margin of nasal bone to supply skin of external nose to nasal tip.",,"Gray's Anatomy p 429, 433, 564
Netter's Atlas of Human Anatomy plate 61"
Yes,Right anterior ethmoidal nerve,FMA:52676,FMA:52675,Point on right nasociliary nerve right where anterior ethmoidal nerve starts,,,,,,,,,,
Yes,Left anterior ethmoidal nerve,FMA:52677,FMA:52675,Point on left nasociliary nerve where left anterior ethmoidal nerve starts,,,,,,,,,,
,Meningeal branch(es) of anterior ethmoidal nerve,REQUESTED,,,,,,,Dura near superior sagittal sinus and close to the cribriform plate,,Several branches leave anterior ethmoidal nerve in anterior cranial fossa after the anterior ethmoidal nerve emerges from the anterior ethmoidal foramen.,,,"Penfield and McNaughton, Dural Headache and Innervation of the Dura Mater Archives of Neurology & Psychiatry 44;1:43-75 (1940) at p 49"
Yes,Right meningeal branch of anterior ethmoidal nerve/ Meningeal branch of right anterior ethmoidal nerve,REQUESTED,Meningeal branch(es) of anterior ethmoidal nerve,Point on right anterior ethmoidal nerve where right meningeal branch of anterior ethmoidal nerve starts,,,,,,,,,,
Yes,Left meningeal branch of anterior ethmoidal nerve/ Meningeal branch of left anterior ethmoidal nerve,REQUESTED,Meningeal branch(es) of anterior ethmoidal nerve,Point on left anterior ethmoidal nerve where left meningeal branch of anterior ethmoidal nerve starts,,,,,,,,,,
,External nasal nerve,FMA:52688,,Point on anterior ethmoidal nerve where external nasal nerve starts,,,* (Lateral wall of the nose),* UBERON:8480070,"* (Skin of nose) below nasal bones, excluding alar portion around the external nares",* UBERON:0015476,,Terminal branch of anterior ethmoidal nerve. Descends through lateral wall of nose,,Netter's Atlas of Human Anatomy plate 42 and 46
,Right external nasal nerve,FMA:52689,FMA:52688,Point on right anterior ethmoidal nerve where right external nasal nerve starts,,,,,,,,,,
,Left external nasal nerve,FMA:52690,FMA:52688,Point on left anterior ethmoidal nerve where left external nasal nerve starts,,,,,,,,,,
,Posterior ethmoidal nerves,FMA:52714,,Point on nasociliary nerve where posterior ethmoidal nerves start,,,* (Wall of orbit),* UBERON:0037089,"* Meningeal branches innervate dura mater in (Anterior cranial fossa)
* (Ethmoidal sinus) 
* (Sphenoidal sinus)","* UBERON:0003720
* UBERON:0002453
* UBERON:0001724",,Posterior ethmoidal canal transmits posterior ethmoidal nerve amd vessels opens at the junction of the posterolateral corner of the cribriform plate and jugum sphenoidale,,"Gray's Anatomy p 429, 433"
Yes,Right posterior ethmoidal nerve,FMA:52715,FMA:52714,Point on right nasociliary nerve where right posterior ethmoidal nerve starts,,,,,,,,,,
Yes,Left posterior ethmoidal nerve,FMA:52716,FMA:52714,Point on left nasociliary nerve where left posterior ethmoidal nerve starts,,,,,,,,,,
,Ciliary ganglion,UBERON:0002058,,"* Parasympathetic root from branch of (Oculomotor nerve) to inferior oblique
* Sympathetic root from (Superior cervical ganglion) via plexus around internal carotid artery
* Sensory fibres from (Nasociliary nerve)","* UBERON:0001643
* UBERON:0001989
* UBERON:0022300",,"* Apex of (Orbit)
* In front of medial end of (Superior orbital fissure)
* Between (Optic nerve) and
* (Lateral rectus)","* UBERON:0001697
* UBERON:0005480
* UBERON:0004904
* UBERON:0001603",* (Short ciliary nerves),* UBERON:0022302,Preganglionic parasympathetic fibres originate in the Edinger-Westphal nucleus of the midbrain. They travel to the ciliary ganglion via a branch of oculomotor nerve to inferior oblique and synapse there. Sympathetic root from superior cervical ganglion via plexus around internal carotid artery within cavernous sinus. Sensory fibres from nasociliary nerve. Travel via ciliary nerves to pierce scleral coat of eyeball and forward to enter ciliary muscle and sphincter pupillae. (Accommodation and pupillary constriction).,"Parasympathetic ganglion, in apex of orbit in front of medial end of superior orbital fissure, between optic nerve and lateral rectus. Short ciliary nerves pierce sclera around optic nerve. These convey parasympathetic, sympathetic and sensory fibres between eyeball and ciliary ganglion.",,"Gray's Anatomy p 408, 679"
,Maxillary nerve (CN Vii),UBERON:0000377,,"* (Trigeminal nerve)
* Middle of (Trigeminal ganglion)","* UBERON:0001645
* UBERON:0001675",,"* (Cavernous sinus)
* Exits skull at (Foramen rotundum)","* UBERON:0003712
* UBERON:0005446","* (Middle meningeal nerve)
* (Nasopalatine nerve)
* (Ganglionic branch of maxillary nerve to pterygopalatine ganglion)
* (Zygomatic nerve)
* (Posterior superior alveolar nerve)
* (Middle superior alveolar nerve)
* (Anterior superior alveolar nerve)
* (Orbital branch of maxillary nerve)
* (Infraorbital nerve)
* (Pharyngeal nerve)","* FMA:52728
* UBERON:0008810
* UBERON:0034725
* FMA:52967
* UBERON:0018401
* FMA:52932
* UBERON:0035646
* FMA:52754
* UBERON:0018408
* UBERON:0034725",,"Sensation from midface, lower eyelid, nasal cavity and paranasal sinuses, upper lip, maxillary teeth and palate.  Branches from main trunk of maxillary nerve: meningeal, ganglionic, zygomatic, posterior, middle and anterior superior alveolar and infraorbital nerves.",,"Gray's Anatomy (Table 16.1), p 553, 
Last's Anatomy (revised 9th ed.) p 577
Netter's Atlas of Human Anatomy plate 61"
Yes,Right maxillary nerve,FMA:52725,UBERON:0000377,Point on right trigeminal nerve where right maxillary nerve starts,,,,,,,,,,
Yes,Left maxillary nerve,FMA:52726,UBERON:0000377,Point on right trigeminal nerve where right maxillary nerve starts,,,,,,,,,,
,Middle meningeal nerve,FMA:52728,,Point on maxillary nerve where middle meningeal nerve starts,,,,,"* Dura of (Anterior cranial fossa) and mostly 
* (Middle cranial fossa)","* UBERON:0003720
* UBERON:0003722",,,,Gray's Anatomy p 433
Yes,Right middle meningeal nerve,FMA:52729,FMA:52728,Point on right maxillary nerve where right middle meningeal nerve starts,,,,,,,,,,
Yes,Left middle meningeal nerve,FMA:52730,FMA:52728,Point on left maxillary nerve where left middle meningeal nerve starts,,,,,,,,,,
,Ganglionic branch of maxillary nerve to pterygopalatine ganglion,UBERON:0034725,,Point on maxillary nerve where ganglionic branch of maxillary nerve to pterygopalatine ganglion starts,,,* (Pterygopalatine fossa),* FMA:75309,* (Pterygopalatine ganglion),* UBERON:0003962,Very short branches. Leave maxillary nerve in ptertgopalatine fossa and travel a very short way to the pterygopalatine ganglion which is also in the fossa.,,,Gray's Anatomy p 553
Yes,Ganglionic branch of right maxillary nerve to right pterygopalatine ganglion (Ganglionic branch of right maxillary nerve to pterygopalatine ganglion),FMA:52732,UBERON:0034725,Point on right maxillary nerve where ganglionic branch of right maxillary nerve to pterygopalatine ganglion starts,,,,,(Right pterygopalatine ganglion),FMA:53069,,,,
Yes,Ganglionic branch of left maxillary nerve to left pterygopalatine ganglion (Ganglionic branch of left maxillary nerve to pterygopalatine ganglion),FMA:52733,UBERON:0034725,Point on left maxillary nerve where ganglionic branch of left maxillary nerve to pterygopalatine ganglion starts,,,,,(Left pterygopalatine ganglion),FMA:53070,,,,
,"* Lateral posterior superior nasal nerve
* Set of posterior superior lateral nasal branches of maxillary nerve","* FMA:52782
* FMA:75541",,* (Pterygopalatine ganglion),* UBERON:0003962,,* (Sphenopalatine foramen),* FMA:53144,"* Mucosa of (Superior nasal concha)
* Mucosa of (Middle nasal concha)
* Mucosa of posterior (Ethmoidal sinus)
* (Posterior ethmoidal sinus)","* UBERON:0005920
* UBERON:0005921
* UBERON:0002453
* FMA:57454",Mucosa of posterior part of superior and middle nasal conchae and posterior ethmoidal sinuses. Mucosa of posterior part of nasal roof and nasal septum.,Enter the back of the nasal cavity through the sphenopalatine foramen. Lateral nerves innervate mucosa lining posterior part of the superior and middle nasal conchae and posterior ethmoidal sinuses. Medial nerves cross nasal roof below opening of sphenoidal sinus to supply mucosa of the posterior part of the roof and of the nasal septum.,,Gray's Anatomy p 553
Yes,Right posterior superior lateral nasal branch of maxillary nerve (Right lateral posterior superior nasal nerve),FMA:52785,"FMA:52782 FMA:75541",Point on right maxillary nerve where right lateral posterior superior nasal nerve starts,,,,,,,,,,
Yes,Left posterior superior lateral nasal branch of maxillary nerve (Left lateral posterior superior nasal nerve),FMA:52784,"FMA:52782 FMA:75541",Point on left maxillary nerve where left lateral posterior superior nasal nerve starts,,,,,,,,,,
,"* Medial posterior superior nasal nerve
* Set of posterior superior medial nasal branches of maxillary nerve","* FMA:52783
* FMA:75542",,* (Pterygopalatine ganglion),* UBERON:0003962,,"* (Sphenopalatine foramen)
* Below opening of (Sphenoidal sinus)","* FMA:53144
* UBERON:0001724","* Mucosa of posterior part of (Nasal roof) and
* (Nasal septum mucosa)","* FMA:59669
* UBERON:0005018",,,,Gray's Anatomy p 553
Yes,Right medial posterior superior nasal nerve,FMA:52786,"FMA:52783 FMA:75542",Point on right maxillary nerve where right medial posterior superior nasal nerve starts,,,,,,,,,,
Yes,Left medial posterior superior nasal nerve,FMA:52787,"FMA:52783 FMA:75542",Point on left maxillary nerve where left medial posterior superior nasal nerve starts,,,,,,,,,,
,"Orbital branch of maxillary nerve
Orbiatl branch of maxillary nerve to orbital periosteum","FMA:52754
REQUESTED",,* (Pterygopalatine ganglion),* UBERON:0003962,,,,"* (Orbital periosteum)
* (Sphenoidal sinus)
* (Ethmoidal sinus)","* SNOMED:280547001
* UBERON:0001724
* UBERON:0002453",,Enter orbit through inferior orbital fissure and supply orbital periosteum. Some fibres also pass through posterior ethmoidal foramen to supply sphenoidal and ethmoidal sinuses. Orbital branches are throught to join branches of internal carotid nerve to form a retro-orbital plexus to send autonomic innervation to lacrimal gland and orbitalis.,,Gray's Anatomy p 553
Yes,Right orbital branch of maxillary nerve (?Right orbital branch of maxillary nerve to orbital periosteum) ,REQUESTED,"FMA:52754 Orbiatl branch of maxillary nerve to orbital periosteum",Point on right maxillary nerve where right orbital branch of maxillary nerve starts,,,,,Point on orbital periosteum innervated by right orbital branch of maxillary nerve,,,,,
Yes,Left orbital branch of maxillary nerve (?Left orbital branch of maxillary nerve to orbital periosteum),REQUESTED,"FMA:52754 Orbiatl branch of maxillary nerve to orbital periosteum",Point on left maxillary nerve where left orbital branch of maxillary nerve starts,,,,,Point on orbital periosteum innervated by left orbital branch of maxillary nerve,,,,,
Yes,Orbital branch of right maxillary nerve,,"FMA:52754 Orbiatl branch of maxillary nerve to orbital periosteum",Point on ganglionic branch of right maxillary nerve to pterygopalatine ganglion where orbital branch of right maxillary nerve starts,,,,,Point on orbital periosteum innervated by orbital branch of right maxillary nerve,,"I have included both name variations in man-in-box as there are multiple orbital branches. Could alternatively use branch A, B etc if that is preferred.",,,
Yes,Orbital branch of left maxillary nerve,,"FMA:52754 Orbiatl branch of maxillary nerve to orbital periosteum",Point on ganglionic branch of left maxillary nerve to pterygopalatine ganglion where orbital branch of left maxillary nerve to starts,,,,,Point on orbital periosteum innervated by orbital branch of left maxillary nerve,,,,,
,Orbital branch of maxillary nerve to ethmoidal sinus,FMA:52772,,,,,,,Ethmoidal sinus,,,,,Gray's Anatomy p 553
Yes,Orbital branch of right maxillary nerve to right ethmoidal sinus,FMA:52776,FMA:52772,Point on right maxillary nerve where orbital branch of right maxillary nerve to right ethmoidal sinus starts,,,,,Right ethmoidal sinus,FMA:321148,,,,
Yes,Orbital branch of left maxillary nerve to left ethmoidal sinus,FMA:52777,FMA:52772,Point on left maxillary nerve where orbital branch of left maxillary nerve to left ethmoidal sinus starts,,,,,Left ethmoidal sinus,FMA:321149,,,,
,Orbital branch of maxillary nerve to sphenoidal sinus,FMA:52756,,,,,,,Sphenoidal sinus,,,,,Gray's Anatomy p 553
Yes,Orbital branch of right maxillary nerve to right sphenoidal sinus,FMA:52778,FMA:52756,Point on right maxillary nerve where orbital branch of right maxillary nerve to right sphenoidal sinus starts,,,,,Right sphenoidal sinus,FMA:54707,,,,
Yes,Orbital branch of left maxillary nerve to left sphenoidal sinus,FMA:52779,FMA:52756,Point on left maxillary nerve where orbital branch of left maxillary nerve to left sphenoidal sinus starts,,,,,Left sphenoidal sinus,FMA:54708,,,,
